Model,Algorithm,Study,Fold_AUC,Feature,Feature_Type,Species,MeanAbsSHAP,MeanSignedSHAP,Rank
OnlyMale,RandomForest,ThomasAM_2019_c,0.998015873015873,PA_Parvimonas micra,PA,Parvimonas micra,0.04271792173419884,0.01576603729095618,1
OnlyMale,RandomForest,ThomasAM_2019_c,0.998015873015873,rCLR_Parvimonas micra,rCLR,Parvimonas micra,0.023535929554926414,0.007859206276672588,2
OnlyMale,RandomForest,ThomasAM_2019_c,0.998015873015873,rCLR_Roseburia faecis,rCLR,Roseburia faecis,0.01294755103809235,0.005611732334587195,3
OnlyMale,RandomForest,ThomasAM_2019_c,0.998015873015873,rCLR_Lachnospira eligens,rCLR,Lachnospira eligens,0.01053999733546271,-0.0012855706844743752,4
OnlyMale,RandomForest,ThomasAM_2019_c,0.998015873015873,rCLR_Ruthenibacterium lactatiformans,rCLR,Ruthenibacterium lactatiformans,0.010487197185472353,-0.0019224078111039933,5
OnlyMale,RandomForest,ThomasAM_2019_c,0.998015873015873,rCLR_Odoribacter splanchnicus,rCLR,Odoribacter splanchnicus,0.010105004096548346,-0.0006375661728474775,6
OnlyMale,RandomForest,ThomasAM_2019_c,0.998015873015873,rCLR_Roseburia intestinalis,rCLR,Roseburia intestinalis,0.009415380945342253,-0.0023074677276027776,7
OnlyMale,RandomForest,ThomasAM_2019_c,0.998015873015873,rCLR_Fusicatenibacter saccharivorans,rCLR,Fusicatenibacter saccharivorans,0.009350246736570506,0.004531920839399466,8
OnlyMale,RandomForest,ThomasAM_2019_c,0.998015873015873,rCLR_Eubacterium sp. CAG:251,rCLR,Eubacterium sp. CAG:251,0.008962866053837257,0.008962866053837257,9
OnlyMale,RandomForest,ThomasAM_2019_c,0.998015873015873,Age,covariate,Age,0.00825771858602543,-0.0006917879154531527,10
OnlyMale,RandomForest,ThomasAM_2019_c,0.998015873015873,rCLR_Eubacterium ventriosum,rCLR,Eubacterium ventriosum,0.007242143773141328,7.848432136330503e-05,11
OnlyMale,RandomForest,ThomasAM_2019_c,0.998015873015873,rCLR_Bacteroides caccae,rCLR,Bacteroides caccae,0.006717392914496827,-7.292615154641331e-06,12
OnlyMale,RandomForest,ThomasAM_2019_c,0.998015873015873,rCLR_Lachnospira pectinoschiza,rCLR,Lachnospira pectinoschiza,0.006257676850946932,0.002240929027611939,13
OnlyMale,RandomForest,ThomasAM_2019_c,0.998015873015873,rCLR_Akkermansia muciniphila,rCLR,Akkermansia muciniphila,0.006220367022320979,-0.0004206494903536357,14
OnlyMale,RandomForest,ThomasAM_2019_c,0.998015873015873,rCLR_Flavonifractor plautii,rCLR,Flavonifractor plautii,0.006105484686741267,0.0022282183251695585,15
OnlyMale,RandomForest,ThomasAM_2019_c,0.998015873015873,rCLR_Paraprevotella xylaniphila,rCLR,Paraprevotella xylaniphila,0.00597900805715885,-0.002710877496338052,16
OnlyMale,RandomForest,ThomasAM_2019_c,0.998015873015873,rCLR_Eubacterium sp. CAG:38,rCLR,Eubacterium sp. CAG:38,0.005561063729781468,-0.0013669027550758561,17
OnlyMale,RandomForest,ThomasAM_2019_c,0.998015873015873,rCLR_Anaerostipes hadrus,rCLR,Anaerostipes hadrus,0.0053489525853879965,0.0009410534465532619,18
OnlyMale,RandomForest,ThomasAM_2019_c,0.998015873015873,rCLR_Firmicutes bacterium CAG:145,rCLR,Firmicutes bacterium CAG:145,0.0051874380794037864,-0.0027023874849290007,19
OnlyMale,RandomForest,ThomasAM_2019_c,0.998015873015873,rCLR_Escherichia coli,rCLR,Escherichia coli,0.005166659864746539,0.0007754136069227227,20
OnlyMale,RandomForest,ThomasAM_2019_c,0.998015873015873,rCLR_Butyricimonas virosa,rCLR,Butyricimonas virosa,0.004617341472414528,-0.0019393612759219714,21
OnlyMale,RandomForest,ThomasAM_2019_c,0.998015873015873,rCLR_[Ruminococcus] torques,rCLR,[Ruminococcus] torques,0.0044351092893278165,-0.0005566817458261547,22
OnlyMale,RandomForest,ThomasAM_2019_c,0.998015873015873,rCLR_Bifidobacterium bifidum,rCLR,Bifidobacterium bifidum,0.004340723056818638,0.0021854120004869524,23
OnlyMale,RandomForest,ThomasAM_2019_c,0.998015873015873,rCLR_Clostridium sp. CAG:58,rCLR,Clostridium sp. CAG:58,0.00432040534468882,-0.001999328364535646,24
OnlyMale,RandomForest,ThomasAM_2019_c,0.998015873015873,rCLR_Bacteroides thetaiotaomicron,rCLR,Bacteroides thetaiotaomicron,0.004046799862302091,0.0019027936385094353,25
OnlyMale,RandomForest,ThomasAM_2019_c,0.998015873015873,rCLR_Faecalibacterium prausnitzii,rCLR,Faecalibacterium prausnitzii,0.003846744199732081,0.0011267274526143714,26
OnlyMale,RandomForest,ThomasAM_2019_c,0.998015873015873,rCLR_Bacteroides salyersiae,rCLR,Bacteroides salyersiae,0.0038365829634142822,-0.0011164243487493605,27
OnlyMale,RandomForest,ThomasAM_2019_c,0.998015873015873,rCLR_Coprococcus catus,rCLR,Coprococcus catus,0.003781352522097435,-0.001379639479785378,28
OnlyMale,RandomForest,ThomasAM_2019_c,0.998015873015873,rCLR_Phocaeicola coprocola,rCLR,Phocaeicola coprocola,0.003765928911539346,-0.001696328926323089,29
OnlyMale,RandomForest,ThomasAM_2019_c,0.998015873015873,rCLR_Phocaeicola plebeius,rCLR,Phocaeicola plebeius,0.003720573786674846,0.0003976464687727021,30
OnlyMale,RandomForest,ThomasAM_2019_c,0.998015873015873,PA_Streptococcus salivarius,PA,Streptococcus salivarius,0.003652871619727826,-0.0008585529301143057,31
OnlyMale,RandomForest,ThomasAM_2019_c,0.998015873015873,rCLR_Bacteroides cellulosilyticus,rCLR,Bacteroides cellulosilyticus,0.003636515242782512,-0.000749511496317797,32
OnlyMale,RandomForest,ThomasAM_2019_c,0.998015873015873,rCLR_Klebsiella quasipneumoniae,rCLR,Klebsiella quasipneumoniae,0.0034374197463992113,0.0029490695881179098,33
OnlyMale,RandomForest,ThomasAM_2019_c,0.998015873015873,rCLR_Blautia obeum,rCLR,Blautia obeum,0.0034018828545805766,-0.0007137913312354618,34
OnlyMale,RandomForest,ThomasAM_2019_c,0.998015873015873,rCLR_Parabacteroides merdae,rCLR,Parabacteroides merdae,0.0033757081282312145,0.0010668639842892705,35
OnlyMale,RandomForest,ThomasAM_2019_c,0.998015873015873,rCLR_Bifidobacterium pseudocatenulatum,rCLR,Bifidobacterium pseudocatenulatum,0.0032274167105526557,-0.0019246472445475977,36
OnlyMale,RandomForest,ThomasAM_2019_c,0.998015873015873,rCLR_Methanobrevibacter smithii,rCLR,Methanobrevibacter smithii,0.003141354812880522,-0.0008921374213201591,37
OnlyMale,RandomForest,ThomasAM_2019_c,0.998015873015873,rCLR_Anaerobutyricum hallii,rCLR,Anaerobutyricum hallii,0.003124810006115818,-0.0010805642083223815,38
OnlyMale,RandomForest,ThomasAM_2019_c,0.998015873015873,rCLR_Phocaeicola vulgatus,rCLR,Phocaeicola vulgatus,0.002968093403860837,0.000890500614243401,39
OnlyMale,RandomForest,ThomasAM_2019_c,0.998015873015873,rCLR_Oscillibacter sp. 57_20,rCLR,Oscillibacter sp. 57_20,0.002941070754975368,-0.001184496697115402,40
OnlyMale,RandomForest,ThomasAM_2019_c,0.998015873015873,rCLR_Bifidobacterium longum,rCLR,Bifidobacterium longum,0.002936746747109172,-0.0005002879487389295,41
OnlyMale,RandomForest,ThomasAM_2019_c,0.998015873015873,rCLR_Bacteroides fragilis,rCLR,Bacteroides fragilis,0.0029116129455884284,0.0001323019158913349,42
OnlyMale,RandomForest,ThomasAM_2019_c,0.998015873015873,rCLR_Parabacteroides distasonis,rCLR,Parabacteroides distasonis,0.002815455368470939,0.00142134090004814,43
OnlyMale,RandomForest,ThomasAM_2019_c,0.998015873015873,rCLR_Veillonella atypica,rCLR,Veillonella atypica,0.0027585398880625557,0.0012774158471513888,44
OnlyMale,RandomForest,ThomasAM_2019_c,0.998015873015873,rCLR_Collinsella aerofaciens,rCLR,Collinsella aerofaciens,0.0026963407644919374,0.0007980073268585454,45
OnlyMale,RandomForest,ThomasAM_2019_c,0.998015873015873,rCLR_Coprobacter fastidiosus,rCLR,Coprobacter fastidiosus,0.0026874525259963436,-0.0019433973808684203,46
OnlyMale,RandomForest,ThomasAM_2019_c,0.998015873015873,rCLR_Streptococcus parasanguinis,rCLR,Streptococcus parasanguinis,0.0026440539858734314,0.0012345612500692658,47
OnlyMale,RandomForest,ThomasAM_2019_c,0.998015873015873,rCLR_Desulfovibrio piger,rCLR,Desulfovibrio piger,0.0026225731276323574,-0.0010048488516146968,48
