Model,Algorithm,Study,Fold_AUC,Feature,Feature_Type,Species,MeanAbsSHAP,MeanSignedSHAP,Rank
OnlyMale,RandomForest,FengQ_2015,0.7782738095238095,PA_Parvimonas micra,PA,Parvimonas micra,0.0256144600717388,-0.0038588210688102658,1
OnlyMale,RandomForest,FengQ_2015,0.7782738095238095,rCLR_Akkermansia muciniphila,rCLR,Akkermansia muciniphila,0.016514762279961098,0.011474148106340957,2
OnlyMale,RandomForest,FengQ_2015,0.7782738095238095,rCLR_Coprococcus catus,rCLR,Coprococcus catus,0.013602090891636373,0.010218986492544244,3
OnlyMale,RandomForest,FengQ_2015,0.7782738095238095,rCLR_Odoribacter splanchnicus,rCLR,Odoribacter splanchnicus,0.011507841200515075,-0.009295192270606465,4
OnlyMale,RandomForest,FengQ_2015,0.7782738095238095,rCLR_Ruthenibacterium lactatiformans,rCLR,Ruthenibacterium lactatiformans,0.011463865202739136,0.006964964405931045,5
OnlyMale,RandomForest,FengQ_2015,0.7782738095238095,rCLR_Fusicatenibacter saccharivorans,rCLR,Fusicatenibacter saccharivorans,0.011376595739935911,-0.006214098964115162,6
OnlyMale,RandomForest,FengQ_2015,0.7782738095238095,rCLR_Paraprevotella xylaniphila,rCLR,Paraprevotella xylaniphila,0.011362349716697868,0.004297304888834076,7
OnlyMale,RandomForest,FengQ_2015,0.7782738095238095,rCLR_Parvimonas micra,rCLR,Parvimonas micra,0.011113247660032426,-0.002286568857111886,8
OnlyMale,RandomForest,FengQ_2015,0.7782738095238095,rCLR_Roseburia intestinalis,rCLR,Roseburia intestinalis,0.010221644591259911,0.0017449290466205706,9
OnlyMale,RandomForest,FengQ_2015,0.7782738095238095,rCLR_Lachnospira eligens,rCLR,Lachnospira eligens,0.009943018203291815,0.006788604265447305,10
OnlyMale,RandomForest,FengQ_2015,0.7782738095238095,rCLR_Roseburia faecis,rCLR,Roseburia faecis,0.008050042585631013,-0.001550873420730544,11
OnlyMale,RandomForest,FengQ_2015,0.7782738095238095,rCLR_Eubacterium ventriosum,rCLR,Eubacterium ventriosum,0.007448081090904622,-0.0013770686298014174,12
OnlyMale,RandomForest,FengQ_2015,0.7782738095238095,rCLR_Anaerobutyricum hallii,rCLR,Anaerobutyricum hallii,0.007407851554711877,0.006219281355116107,13
OnlyMale,RandomForest,FengQ_2015,0.7782738095238095,rCLR_Phocaeicola coprocola,rCLR,Phocaeicola coprocola,0.007251126339782641,-0.001273626126038079,14
OnlyMale,RandomForest,FengQ_2015,0.7782738095238095,rCLR_Firmicutes bacterium CAG:145,rCLR,Firmicutes bacterium CAG:145,0.007030001374178961,-0.00045001321083151634,15
OnlyMale,RandomForest,FengQ_2015,0.7782738095238095,rCLR_Butyricimonas virosa,rCLR,Butyricimonas virosa,0.006205393012614883,-0.006205393012614883,16
OnlyMale,RandomForest,FengQ_2015,0.7782738095238095,rCLR_Eubacterium sp. CAG:38,rCLR,Eubacterium sp. CAG:38,0.005992874018356537,0.005562976743165179,17
OnlyMale,RandomForest,FengQ_2015,0.7782738095238095,rCLR_Dorea longicatena,rCLR,Dorea longicatena,0.005856892195972451,0.004866434680347227,18
OnlyMale,RandomForest,FengQ_2015,0.7782738095238095,rCLR_Methanobrevibacter smithii,rCLR,Methanobrevibacter smithii,0.005694022980667121,0.0041696238434130155,19
OnlyMale,RandomForest,FengQ_2015,0.7782738095238095,Age,covariate,Age,0.005584876566353955,0.0036000488496831943,20
OnlyMale,RandomForest,FengQ_2015,0.7782738095238095,rCLR_Faecalibacterium prausnitzii,rCLR,Faecalibacterium prausnitzii,0.005400409334729525,-0.000101604315697532,21
OnlyMale,RandomForest,FengQ_2015,0.7782738095238095,rCLR_Adlercreutzia equolifaciens_1,rCLR,Adlercreutzia equolifaciens_1,0.0051676246867171155,-0.0039208033129246285,22
OnlyMale,RandomForest,FengQ_2015,0.7782738095238095,rCLR_Dorea formicigenerans,rCLR,Dorea formicigenerans,0.005129899552355287,0.004134733392305159,23
OnlyMale,RandomForest,FengQ_2015,0.7782738095238095,rCLR_Bacteroides caccae,rCLR,Bacteroides caccae,0.005087170908600853,-0.0027859176015771273,24
OnlyMale,RandomForest,FengQ_2015,0.7782738095238095,rCLR_Bifidobacterium longum,rCLR,Bifidobacterium longum,0.004918883097712676,-0.00415019016692036,25
OnlyMale,RandomForest,FengQ_2015,0.7782738095238095,rCLR_Blautia sp. CAG:257,rCLR,Blautia sp. CAG:257,0.004685947506478531,-0.0004646963800209117,26
OnlyMale,RandomForest,FengQ_2015,0.7782738095238095,rCLR_Blautia obeum,rCLR,Blautia obeum,0.00466316736705794,0.003557320668179824,27
OnlyMale,RandomForest,FengQ_2015,0.7782738095238095,rCLR_Holdemanella biformis,rCLR,Holdemanella biformis,0.004520321900039118,0.0005788481647660603,28
OnlyMale,RandomForest,FengQ_2015,0.7782738095238095,rCLR_Lachnospira pectinoschiza,rCLR,Lachnospira pectinoschiza,0.004201126900467793,0.0028606234689713362,29
OnlyMale,RandomForest,FengQ_2015,0.7782738095238095,rCLR_[Eubacterium] siraeum,rCLR,[Eubacterium] siraeum,0.0037832682994182656,0.0009495285921439331,30
OnlyMale,RandomForest,FengQ_2015,0.7782738095238095,rCLR_Bifidobacterium pseudocatenulatum,rCLR,Bifidobacterium pseudocatenulatum,0.003690969183427703,0.0015855675005582589,31
OnlyMale,RandomForest,FengQ_2015,0.7782738095238095,rCLR_Roseburia hominis,rCLR,Roseburia hominis,0.003593265275716929,-0.00041360744068731116,32
OnlyMale,RandomForest,FengQ_2015,0.7782738095238095,rCLR_Clostridium sp. CAG:58,rCLR,Clostridium sp. CAG:58,0.003592291134127689,-0.0003332651617245535,33
OnlyMale,RandomForest,FengQ_2015,0.7782738095238095,rCLR_Escherichia coli,rCLR,Escherichia coli,0.003591965261871967,0.0014218983866796176,34
