Model,Algorithm,Study,Fold_AUC,Feature,Feature_Type,Species,MeanAbsSHAP,MeanSignedSHAP,Rank
OnlyMale,RandomForest,ThomasAM_2018b,0.8586956521739131,PA_Parvimonas micra,PA,Parvimonas micra,0.037589836458986906,0.0038724010544858513,1
OnlyMale,RandomForest,ThomasAM_2018b,0.8586956521739131,rCLR_Parvimonas micra,rCLR,Parvimonas micra,0.021347584433095326,-0.0008598979924300096,2
OnlyMale,RandomForest,ThomasAM_2018b,0.8586956521739131,rCLR_Fusicatenibacter saccharivorans,rCLR,Fusicatenibacter saccharivorans,0.015777280115053697,-0.010013835483781297,3
OnlyMale,RandomForest,ThomasAM_2018b,0.8586956521739131,rCLR_Paraprevotella xylaniphila,rCLR,Paraprevotella xylaniphila,0.013528681986877232,0.004143361112204418,4
OnlyMale,RandomForest,ThomasAM_2018b,0.8586956521739131,rCLR_Roseburia intestinalis,rCLR,Roseburia intestinalis,0.012073703979219473,9.568433223599472e-05,5
OnlyMale,RandomForest,ThomasAM_2018b,0.8586956521739131,rCLR_Odoribacter splanchnicus,rCLR,Odoribacter splanchnicus,0.010785385803596257,-0.0011274549807501143,6
OnlyMale,RandomForest,ThomasAM_2018b,0.8586956521739131,rCLR_Lachnospira eligens,rCLR,Lachnospira eligens,0.010102970285656657,-0.004720268613038713,7
OnlyMale,RandomForest,ThomasAM_2018b,0.8586956521739131,rCLR_Ruthenibacterium lactatiformans,rCLR,Ruthenibacterium lactatiformans,0.009820397679745753,-0.007646667877475488,8
OnlyMale,RandomForest,ThomasAM_2018b,0.8586956521739131,rCLR_Firmicutes bacterium CAG:145,rCLR,Firmicutes bacterium CAG:145,0.009469938625484004,0.00025009231394692254,9
OnlyMale,RandomForest,ThomasAM_2018b,0.8586956521739131,rCLR_Lachnospira pectinoschiza,rCLR,Lachnospira pectinoschiza,0.009468632911418204,-0.004966549021699359,10
OnlyMale,RandomForest,ThomasAM_2018b,0.8586956521739131,rCLR_Roseburia faecis,rCLR,Roseburia faecis,0.009245147333128808,-0.0035246554891648018,11
OnlyMale,RandomForest,ThomasAM_2018b,0.8586956521739131,rCLR_Eubacterium ventriosum,rCLR,Eubacterium ventriosum,0.007358731144898811,-0.0019109243595798143,12
OnlyMale,RandomForest,ThomasAM_2018b,0.8586956521739131,rCLR_Bifidobacterium pseudocatenulatum,rCLR,Bifidobacterium pseudocatenulatum,0.007241699240684483,0.004482968757615295,13
OnlyMale,RandomForest,ThomasAM_2018b,0.8586956521739131,rCLR_Anaerobutyricum hallii,rCLR,Anaerobutyricum hallii,0.007163164089453803,0.007108270160331074,14
OnlyMale,RandomForest,ThomasAM_2018b,0.8586956521739131,rCLR_Methanobrevibacter smithii,rCLR,Methanobrevibacter smithii,0.007108332144225966,0.004999713237352938,15
OnlyMale,RandomForest,ThomasAM_2018b,0.8586956521739131,rCLR_Akkermansia muciniphila,rCLR,Akkermansia muciniphila,0.006148516920469275,0.000815489273296181,16
OnlyMale,RandomForest,ThomasAM_2018b,0.8586956521739131,rCLR_Coprococcus catus,rCLR,Coprococcus catus,0.005866726269138928,0.0036630007595220546,17
OnlyMale,RandomForest,ThomasAM_2018b,0.8586956521739131,rCLR_Anaerostipes hadrus,rCLR,Anaerostipes hadrus,0.005605931118425559,-0.0016343697286178725,18
OnlyMale,RandomForest,ThomasAM_2018b,0.8586956521739131,rCLR_Butyricimonas virosa,rCLR,Butyricimonas virosa,0.005540826054908419,-0.0033023458693085075,19
OnlyMale,RandomForest,ThomasAM_2018b,0.8586956521739131,rCLR_Bacteroides caccae,rCLR,Bacteroides caccae,0.005103969832234969,-0.0021000658327897967,20
OnlyMale,RandomForest,ThomasAM_2018b,0.8586956521739131,rCLR_Eubacterium sp. CAG:38,rCLR,Eubacterium sp. CAG:38,0.005022039212861742,0.0011866357760901372,21
OnlyMale,RandomForest,ThomasAM_2018b,0.8586956521739131,rCLR_Eubacterium sp. CAG:251,rCLR,Eubacterium sp. CAG:251,0.004716568656037856,0.004182913140924025,22
OnlyMale,RandomForest,ThomasAM_2018b,0.8586956521739131,rCLR_Bifidobacterium bifidum,rCLR,Bifidobacterium bifidum,0.004516654090982179,-0.0009288920663935161,23
OnlyMale,RandomForest,ThomasAM_2018b,0.8586956521739131,rCLR_Faecalibacterium prausnitzii,rCLR,Faecalibacterium prausnitzii,0.0041956664887795375,-0.0016307461458418188,24
OnlyMale,RandomForest,ThomasAM_2018b,0.8586956521739131,rCLR_[Ruminococcus] torques,rCLR,[Ruminococcus] torques,0.004163784661146124,0.002007578413372595,25
OnlyMale,RandomForest,ThomasAM_2018b,0.8586956521739131,rCLR_Blautia obeum,rCLR,Blautia obeum,0.004143330774417941,0.0032985518665415623,26
OnlyMale,RandomForest,ThomasAM_2018b,0.8586956521739131,rCLR_Phocaeicola plebeius,rCLR,Phocaeicola plebeius,0.004026474740030845,-0.0012019514551676153,27
OnlyMale,RandomForest,ThomasAM_2018b,0.8586956521739131,rCLR_Escherichia coli,rCLR,Escherichia coli,0.003955274191513815,-0.0003346864827862882,28
OnlyMale,RandomForest,ThomasAM_2018b,0.8586956521739131,rCLR_Phocaeicola coprocola,rCLR,Phocaeicola coprocola,0.003942068248415507,-0.0008976181122752507,29
OnlyMale,RandomForest,ThomasAM_2018b,0.8586956521739131,rCLR_Parabacteroides distasonis,rCLR,Parabacteroides distasonis,0.00386123504955752,-0.0008243043731112005,30
OnlyMale,RandomForest,ThomasAM_2018b,0.8586956521739131,rCLR_Oscillibacter sp. CAG:241,rCLR,Oscillibacter sp. CAG:241,0.0037309845768705684,0.0018357224995821603,31
OnlyMale,RandomForest,ThomasAM_2018b,0.8586956521739131,rCLR_Flavonifractor plautii,rCLR,Flavonifractor plautii,0.003685520620089642,-0.0018242969110208885,32
OnlyMale,RandomForest,ThomasAM_2018b,0.8586956521739131,rCLR_Bacteroides salyersiae,rCLR,Bacteroides salyersiae,0.0036112460231730124,-0.0015086902947187865,33
