feature,species,categories,is_early,is_late,is_progression,is_ordered_increasing,is_ordered_decreasing,best_trend_direction,best_trend_q,q_crc_vs_control,q_adenoma_vs_control,q_crc_vs_adenoma,mean_control,mean_adenoma,mean_crc,adenoma_position_between_control_crc
rCLR_Acidaminococcus intestini,Acidaminococcus intestini,NOT_SIGNIFICANT_BY_FDR,False,False,False,False,False,increasing_Control_to_Adenoma_to_CRC,0.0,0.9762813625143224,0.40729370265832326,0.48432795740228274,0.111817808581024,0.09375739801512493,0.12140135825511875,-1.8845220382921455
rCLR_Adlercreutzia equolifaciens,Adlercreutzia equolifaciens,NOT_SIGNIFICANT_BY_FDR,False,False,False,False,False,increasing_Control_to_Adenoma_to_CRC,0.0,0.5054984263932254,0.2423563911862585,0.06389477404699152,-1.0356062528556955,-0.8082407623965225,-1.1487792611137497,-2.009008101478932
rCLR_Adlercreutzia equolifaciens_1,Adlercreutzia equolifaciens_1,NOT_SIGNIFICANT_BY_FDR,False,False,False,False,False,increasing_Control_to_Adenoma_to_CRC,0.0,0.5582596945939255,0.570312061666208,0.3294098492579295,-1.0656293485480823,-0.9776907390995508,-1.121873742827047,-1.5635088718773926
rCLR_Agathobaculum butyriciproducens,Agathobaculum butyriciproducens,NOT_SIGNIFICANT_BY_FDR,False,False,False,False,False,increasing_Control_to_Adenoma_to_CRC,0.0,0.23160680674417472,0.6248274887837929,0.1613660231345827,0.013407703086779361,0.11398515941365539,-0.13214165181981227,-0.6910195953216217
rCLR_Akkermansia muciniphila,Akkermansia muciniphila,NOT_SIGNIFICANT_BY_FDR,False,False,False,False,False,increasing_Control_to_Adenoma_to_CRC,0.0,0.5631922731065467,0.2423563911862585,0.5025124751028249,-0.043952349990047025,0.2691099821678768,0.16896731041374954,1.4703307884495462
rCLR_Alistipes finegoldii,Alistipes finegoldii,LATE;ORDERED_INCREASING,False,True,False,True,False,increasing_Control_to_Adenoma_to_CRC,0.0,0.02086337044104077,0.7339667927217928,0.3931416955383541,-0.5941781608192922,-0.4961218934666949,-0.341347352245853,0.387833539377046
rCLR_Alistipes inops,Alistipes inops,NOT_SIGNIFICANT_BY_FDR,False,False,False,False,False,increasing_Control_to_Adenoma_to_CRC,0.0,0.9762813625143224,0.9626221225097799,0.9086194460791583,-0.07800779091196061,-0.04433017537875856,-0.07059923356480174,4.545772402790025
rCLR_Alistipes putredinis,Alistipes putredinis,NOT_SIGNIFICANT_BY_FDR,False,False,False,False,False,increasing_Control_to_Adenoma_to_CRC,0.0,0.4659358702771435,0.570312061666208,0.2978401067677398,0.9007224532913095,0.8479207850064164,1.0547917234847342,-0.3427138209884669
rCLR_Alistipes shahii,Alistipes shahii,NOT_SIGNIFICANT_BY_FDR,False,False,False,False,False,increasing_Control_to_Adenoma_to_CRC,0.0,0.4056700773561296,0.40729370265832326,0.8097859414540772,-0.7842251802078698,-0.5703759059857941,-0.6655318533230792,1.80169584790262
rCLR_Anaerobutyricum hallii,Anaerobutyricum hallii,PROGRESSION,False,False,True,False,False,increasing_Control_to_Adenoma_to_CRC,0.0,0.4503304253599365,0.2423563911862585,0.0459863038982372,-0.08836919539763702,0.19014119764505732,-0.18817399706335006,-2.7905510395736184
rCLR_Anaerostipes hadrus,Anaerostipes hadrus,LATE;ORDERED_DECREASING,False,True,False,False,True,increasing_Control_to_Adenoma_to_CRC,0.0,0.0005095391023908058,0.985048870698806,0.06292168895476413,0.9594629882136481,0.9580525881944786,0.5427369476490366,0.0033844777668766814
rCLR_Anaerotignum lactatifermentans,Anaerotignum lactatifermentans,NOT_SIGNIFICANT_BY_FDR,False,False,False,False,False,increasing_Control_to_Adenoma_to_CRC,0.0,0.5631922731065467,0.4109714082776068,0.8042659408977536,-0.20165799045114335,-0.3188674629036317,-0.2470865716665596,2.580082171104943
