Model,Algorithm,Study,Fold_AUC,Feature,Feature_Type,Species,MeanAbsSHAP,MeanSignedSHAP,Rank
OnlyFemale,RandomForest,HanniganGD_2017,0.5504201680672269,rCLR_Ruthenibacterium lactatiformans,rCLR,Ruthenibacterium lactatiformans,0.024879987685238858,0.00701469092211,1
OnlyFemale,RandomForest,HanniganGD_2017,0.5504201680672269,rCLR_Anaerostipes hadrus,rCLR,Anaerostipes hadrus,0.015163928030235746,-0.011685337894575857,2
OnlyFemale,RandomForest,HanniganGD_2017,0.5504201680672269,PA_Parvimonas micra,PA,Parvimonas micra,0.012767873824303838,-0.012767873824303838,3
OnlyFemale,RandomForest,HanniganGD_2017,0.5504201680672269,rCLR_Bacteroides thetaiotaomicron,rCLR,Bacteroides thetaiotaomicron,0.010687052753021328,-0.009423805774360246,4
OnlyFemale,RandomForest,HanniganGD_2017,0.5504201680672269,rCLR_Dorea formicigenerans,rCLR,Dorea formicigenerans,0.010328970438156929,-0.004453239932764787,5
OnlyFemale,RandomForest,HanniganGD_2017,0.5504201680672269,rCLR_Anaerobutyricum hallii,rCLR,Anaerobutyricum hallii,0.008585760972143686,-0.006083510521854716,6
OnlyFemale,RandomForest,HanniganGD_2017,0.5504201680672269,rCLR_Parabacteroides distasonis,rCLR,Parabacteroides distasonis,0.008464665542606954,-0.008464665542606954,7
OnlyFemale,RandomForest,HanniganGD_2017,0.5504201680672269,rCLR_[Ruminococcus] torques,rCLR,[Ruminococcus] torques,0.008442810266895593,0.003810437310698324,8
OnlyFemale,RandomForest,HanniganGD_2017,0.5504201680672269,rCLR_Coprococcus comes,rCLR,Coprococcus comes,0.007965281094671959,0.0017672096716119573,9
OnlyFemale,RandomForest,HanniganGD_2017,0.5504201680672269,rCLR_Bacteroides caccae,rCLR,Bacteroides caccae,0.007504426479733185,-0.004188109554605493,10
OnlyFemale,RandomForest,HanniganGD_2017,0.5504201680672269,rCLR_Eubacterium sp. CAG:180,rCLR,Eubacterium sp. CAG:180,0.007470259056913145,-0.007470259056913145,11
OnlyFemale,RandomForest,HanniganGD_2017,0.5504201680672269,rCLR_Bacteroides fragilis,rCLR,Bacteroides fragilis,0.006746298295316409,-0.003516820363587926,12
OnlyFemale,RandomForest,HanniganGD_2017,0.5504201680672269,PA_Flavonifractor plautii,PA,Flavonifractor plautii,0.0058441015645223525,-0.005364837834423596,13
OnlyFemale,RandomForest,HanniganGD_2017,0.5504201680672269,rCLR_Parvimonas micra,rCLR,Parvimonas micra,0.005737944561505751,-0.005737944561505751,14
OnlyFemale,RandomForest,HanniganGD_2017,0.5504201680672269,rCLR_Adlercreutzia equolifaciens,rCLR,Adlercreutzia equolifaciens,0.005720099076338089,-0.002340054631237678,15
OnlyFemale,RandomForest,HanniganGD_2017,0.5504201680672269,rCLR_Coprococcus catus,rCLR,Coprococcus catus,0.005687390480221872,0.0014233242027046015,16
OnlyFemale,RandomForest,HanniganGD_2017,0.5504201680672269,rCLR_Bacteroides finegoldii,rCLR,Bacteroides finegoldii,0.005352902914660351,0.003938850397347054,17
OnlyFemale,RandomForest,HanniganGD_2017,0.5504201680672269,rCLR_Dorea longicatena,rCLR,Dorea longicatena,0.0053243706683394594,0.0004886345130327622,18
OnlyFemale,RandomForest,HanniganGD_2017,0.5504201680672269,rCLR_Eubacterium sp. CAG:251,rCLR,Eubacterium sp. CAG:251,0.005165283579599867,0.004352105099500798,19
OnlyFemale,RandomForest,HanniganGD_2017,0.5504201680672269,rCLR_Akkermansia muciniphila,rCLR,Akkermansia muciniphila,0.004730777977577878,0.0006579914373471144,20
OnlyFemale,RandomForest,HanniganGD_2017,0.5504201680672269,rCLR_Collinsella aerofaciens,rCLR,Collinsella aerofaciens,0.004418237850377634,0.0015194485376285496,21
OnlyFemale,RandomForest,HanniganGD_2017,0.5504201680672269,rCLR_Parasutterella excrementihominis,rCLR,Parasutterella excrementihominis,0.0043785407718403575,0.0033727128192376304,22
OnlyFemale,RandomForest,HanniganGD_2017,0.5504201680672269,rCLR_Parabacteroides merdae,rCLR,Parabacteroides merdae,0.004219412525431736,-0.0030980512598276742,23
OnlyFemale,RandomForest,HanniganGD_2017,0.5504201680672269,rCLR_Phocaeicola plebeius,rCLR,Phocaeicola plebeius,0.003943464387300737,-0.003943464387300737,24
OnlyFemale,RandomForest,HanniganGD_2017,0.5504201680672269,rCLR_Desulfovibrio piger,rCLR,Desulfovibrio piger,0.0037496951509854563,-0.0037496951509854563,25
OnlyFemale,RandomForest,HanniganGD_2017,0.5504201680672269,rCLR_Clostridium sp. CAG:58,rCLR,Clostridium sp. CAG:58,0.0036376549019562134,-0.003519208051628736,26
OnlyFemale,RandomForest,HanniganGD_2017,0.5504201680672269,rCLR_Intestinibacter bartlettii,rCLR,Intestinibacter bartlettii,0.0035453940852693757,-0.0017530985953144408,27
OnlyFemale,RandomForest,HanniganGD_2017,0.5504201680672269,rCLR_Phocaeicola coprocola,rCLR,Phocaeicola coprocola,0.003527749113215647,0.003527749113215647,28
OnlyFemale,RandomForest,HanniganGD_2017,0.5504201680672269,rCLR_Veillonella parvula,rCLR,Veillonella parvula,0.003428101909729846,0.0026088729704832688,29
OnlyFemale,RandomForest,HanniganGD_2017,0.5504201680672269,rCLR_Coprobacter fastidiosus,rCLR,Coprobacter fastidiosus,0.0033544240676174155,0.0033544240676174155,30
OnlyFemale,RandomForest,HanniganGD_2017,0.5504201680672269,rCLR_Bacteroides salyersiae,rCLR,Bacteroides salyersiae,0.003352468351815792,0.003352468351815792,31
OnlyFemale,RandomForest,HanniganGD_2017,0.5504201680672269,rCLR_Bifidobacterium adolescentis,rCLR,Bifidobacterium adolescentis,0.003236710290574094,0.0016710273997548296,32
OnlyFemale,RandomForest,HanniganGD_2017,0.5504201680672269,rCLR_Faecalibacterium prausnitzii,rCLR,Faecalibacterium prausnitzii,0.0032197144682271643,0.001850736182510116,33
OnlyFemale,RandomForest,HanniganGD_2017,0.5504201680672269,rCLR_Bifidobacterium bifidum,rCLR,Bifidobacterium bifidum,0.003178371248029421,-0.003178371248029421,34
OnlyFemale,RandomForest,HanniganGD_2017,0.5504201680672269,rCLR_Adlercreutzia equolifaciens_1,rCLR,Adlercreutzia equolifaciens_1,0.003150704621191932,0.0007003453660957977,35
OnlyFemale,RandomForest,HanniganGD_2017,0.5504201680672269,Age,covariate,Age,0.0031203731809104802,-0.002701905763993482,36
OnlyFemale,RandomForest,HanniganGD_2017,0.5504201680672269,rCLR_Paraprevotella xylaniphila,rCLR,Paraprevotella xylaniphila,0.0030789780400965073,0.0030789780400965073,37
OnlyFemale,RandomForest,HanniganGD_2017,0.5504201680672269,rCLR_Bacteroides sp. CAG:144,rCLR,Bacteroides sp. CAG:144,0.0030216769723848008,-0.0030216769723848008,38
OnlyFemale,RandomForest,HanniganGD_2017,0.5504201680672269,rCLR_Streptococcus salivarius,rCLR,Streptococcus salivarius,0.0029218902117669645,0.0004447725037353137,39
OnlyFemale,RandomForest,HanniganGD_2017,0.5504201680672269,rCLR_Roseburia faecis,rCLR,Roseburia faecis,0.002866785240537363,0.0009414457560967283,40
OnlyFemale,RandomForest,HanniganGD_2017,0.5504201680672269,rCLR_Lachnospira pectinoschiza,rCLR,Lachnospira pectinoschiza,0.002835029540028519,0.002829766385416025,41
OnlyFemale,RandomForest,HanniganGD_2017,0.5504201680672269,rCLR_Megamonas funiformis,rCLR,Megamonas funiformis,0.0027800219023045984,-0.0027800219023045984,42
OnlyFemale,RandomForest,HanniganGD_2017,0.5504201680672269,rCLR_Phocaeicola vulgatus,rCLR,Phocaeicola vulgatus,0.00277129330389118,0.0023553058441517865,43
OnlyFemale,RandomForest,HanniganGD_2017,0.5504201680672269,rCLR_Flavonifractor plautii,rCLR,Flavonifractor plautii,0.0025507606903575585,-0.0013556358715134064,44
OnlyFemale,RandomForest,HanniganGD_2017,0.5504201680672269,rCLR_Oscillibacter sp. 57_20,rCLR,Oscillibacter sp. 57_20,0.0024977437466819383,0.0024977437466819383,45
OnlyFemale,RandomForest,HanniganGD_2017,0.5504201680672269,rCLR_Proteobacteria bacterium CAG:139,rCLR,Proteobacteria bacterium CAG:139,0.0024909146654566493,0.0011690536816028705,46
OnlyFemale,RandomForest,HanniganGD_2017,0.5504201680672269,rCLR_Coprococcus eutactus,rCLR,Coprococcus eutactus,0.002413592178413216,0.002311115913189715,47
OnlyFemale,RandomForest,HanniganGD_2017,0.5504201680672269,rCLR_Methanobrevibacter smithii,rCLR,Methanobrevibacter smithii,0.0023782825928667975,0.0022277039568458427,48
OnlyFemale,RandomForest,HanniganGD_2017,0.5504201680672269,rCLR_Alistipes finegoldii,rCLR,Alistipes finegoldii,0.0023751019735285335,-0.0008520524277460809,49
OnlyFemale,RandomForest,HanniganGD_2017,0.5504201680672269,rCLR_Dialister invisus,rCLR,Dialister invisus,0.0023566158077503734,0.0006469826349526033,50
OnlyFemale,RandomForest,HanniganGD_2017,0.5504201680672269,rCLR_Holdemanella biformis,rCLR,Holdemanella biformis,0.0023497570021281233,0.0019342579170566927,51
OnlyFemale,RandomForest,HanniganGD_2017,0.5504201680672269,rCLR_Bifidobacterium longum,rCLR,Bifidobacterium longum,0.0022892424275250283,-0.0010504652416500994,52
OnlyFemale,RandomForest,HanniganGD_2017,0.5504201680672269,PA_Bacteroides finegoldii,PA,Bacteroides finegoldii,0.002265845578194081,-0.00027885678966209305,53
OnlyFemale,RandomForest,HanniganGD_2017,0.5504201680672269,rCLR_Blautia wexlerae,rCLR,Blautia wexlerae,0.0022628498318973595,-0.0020557193589398463,54
OnlyFemale,RandomForest,HanniganGD_2017,0.5504201680672269,PA_Roseburia intestinalis,PA,Roseburia intestinalis,0.0022614737934604206,0.0009169102226050285,55
OnlyFemale,RandomForest,HanniganGD_2017,0.5504201680672269,rCLR_Firmicutes bacterium CAG:83,rCLR,Firmicutes bacterium CAG:83,0.0022371773740894334,-0.0003396670468342121,56
OnlyFemale,RandomForest,HanniganGD_2017,0.5504201680672269,rCLR_Phocaeicola massiliensis,rCLR,Phocaeicola massiliensis,0.002231361942053874,-0.000481951092738857,57
OnlyFemale,RandomForest,HanniganGD_2017,0.5504201680672269,rCLR_[Ruminococcus] gnavus,rCLR,[Ruminococcus] gnavus,0.0021373463295504065,-0.00011208051388121743,58
OnlyFemale,RandomForest,HanniganGD_2017,0.5504201680672269,rCLR_Bacteroides cellulosilyticus,rCLR,Bacteroides cellulosilyticus,0.0021185393210630603,-0.002093161112717173,59
OnlyFemale,RandomForest,HanniganGD_2017,0.5504201680672269,rCLR_Blautia obeum,rCLR,Blautia obeum,0.002108469712509088,-0.000561414118775261,60
OnlyFemale,RandomForest,HanniganGD_2017,0.5504201680672269,rCLR_Bifidobacterium pseudocatenulatum,rCLR,Bifidobacterium pseudocatenulatum,0.0020724003518797223,-0.001008277881044854,61
OnlyFemale,RandomForest,HanniganGD_2017,0.5504201680672269,rCLR_Fusicatenibacter saccharivorans,rCLR,Fusicatenibacter saccharivorans,0.0020198751747625963,-0.0013567517358776852,62
OnlyFemale,RandomForest,HanniganGD_2017,0.5504201680672269,PA_Ruminococcus bicirculans,PA,Ruminococcus bicirculans,0.001980776245573676,0.0004968562298153337,63
OnlyFemale,RandomForest,HanniganGD_2017,0.5504201680672269,rCLR_Firmicutes bacterium CAG:110,rCLR,Firmicutes bacterium CAG:110,0.001975494451881702,0.001041188364220247,64
OnlyFemale,RandomForest,HanniganGD_2017,0.5504201680672269,rCLR_Eubacterium ramulus,rCLR,Eubacterium ramulus,0.0019576517275851656,-0.00045072124229069446,65
OnlyFemale,RandomForest,HanniganGD_2017,0.5504201680672269,rCLR_Enterocloster bolteae,rCLR,Enterocloster bolteae,0.0019282209295520356,-0.0016719610474205226,66
OnlyFemale,RandomForest,HanniganGD_2017,0.5504201680672269,rCLR_Bacteroides stercoris,rCLR,Bacteroides stercoris,0.0019247662347817423,-0.00030137342760887075,67
OnlyFemale,RandomForest,HanniganGD_2017,0.5504201680672269,rCLR_Klebsiella quasipneumoniae,rCLR,Klebsiella quasipneumoniae,0.0019135953351669952,0.0016205207616839792,68
