Model,Algorithm,Study,Fold_AUC,Feature,Feature_Type,Species,MeanAbsSHAP,MeanSignedSHAP,Rank
OnlyFemale,RandomForest,ThomasAM_2018b,0.6944444444444444,PA_Parvimonas micra,PA,Parvimonas micra,0.014614545743522198,-0.0020439117563973265,1
OnlyFemale,RandomForest,ThomasAM_2018b,0.6944444444444444,rCLR_Anaerostipes hadrus,rCLR,Anaerostipes hadrus,0.01323077773558077,-0.004515462497639441,2
OnlyFemale,RandomForest,ThomasAM_2018b,0.6944444444444444,rCLR_Ruthenibacterium lactatiformans,rCLR,Ruthenibacterium lactatiformans,0.012012163042006379,-0.009424991695395311,3
OnlyFemale,RandomForest,ThomasAM_2018b,0.6944444444444444,rCLR_Dorea formicigenerans,rCLR,Dorea formicigenerans,0.01178522306756975,0.004327229829439787,4
OnlyFemale,RandomForest,ThomasAM_2018b,0.6944444444444444,rCLR_Parabacteroides distasonis,rCLR,Parabacteroides distasonis,0.009367406088955057,-0.0022616913468467567,5
OnlyFemale,RandomForest,ThomasAM_2018b,0.6944444444444444,rCLR_Bacteroides thetaiotaomicron,rCLR,Bacteroides thetaiotaomicron,0.009328713117951604,-0.00692777303762741,6
OnlyFemale,RandomForest,ThomasAM_2018b,0.6944444444444444,rCLR_Alistipes finegoldii,rCLR,Alistipes finegoldii,0.00915492597020339,0.0038503590892065465,7
OnlyFemale,RandomForest,ThomasAM_2018b,0.6944444444444444,rCLR_Bacteroides fragilis,rCLR,Bacteroides fragilis,0.009136996098604236,-0.00545032509867851,8
OnlyFemale,RandomForest,ThomasAM_2018b,0.6944444444444444,rCLR_Anaerobutyricum hallii,rCLR,Anaerobutyricum hallii,0.008975322453078586,-0.00891520813839631,9
OnlyFemale,RandomForest,ThomasAM_2018b,0.6944444444444444,rCLR_[Ruminococcus] torques,rCLR,[Ruminococcus] torques,0.008026133138499135,0.002189237808978547,10
OnlyFemale,RandomForest,ThomasAM_2018b,0.6944444444444444,rCLR_Paraprevotella xylaniphila,rCLR,Paraprevotella xylaniphila,0.007337287359806858,0.0024594542610016277,11
OnlyFemale,RandomForest,ThomasAM_2018b,0.6944444444444444,rCLR_Bifidobacterium adolescentis,rCLR,Bifidobacterium adolescentis,0.006466905414780418,-0.003369715330219903,12
OnlyFemale,RandomForest,ThomasAM_2018b,0.6944444444444444,rCLR_Blautia obeum,rCLR,Blautia obeum,0.00608892617502158,0.00441139363687005,13
OnlyFemale,RandomForest,ThomasAM_2018b,0.6944444444444444,rCLR_Coprococcus comes,rCLR,Coprococcus comes,0.0057219950472912045,-0.0011489450251155906,14
OnlyFemale,RandomForest,ThomasAM_2018b,0.6944444444444444,rCLR_Parvimonas micra,rCLR,Parvimonas micra,0.005604121813189313,-0.0030104343959498243,15
OnlyFemale,RandomForest,ThomasAM_2018b,0.6944444444444444,rCLR_Desulfovibrio piger,rCLR,Desulfovibrio piger,0.005598639049853032,-0.004979231166299184,16
OnlyFemale,RandomForest,ThomasAM_2018b,0.6944444444444444,rCLR_Streptococcus thermophilus,rCLR,Streptococcus thermophilus,0.005109016348149122,0.001207919311642021,17
OnlyFemale,RandomForest,ThomasAM_2018b,0.6944444444444444,rCLR_Flavonifractor plautii,rCLR,Flavonifractor plautii,0.004959461276931068,-0.002230969590409223,18
OnlyFemale,RandomForest,ThomasAM_2018b,0.6944444444444444,rCLR_Eubacterium sp. CAG:180,rCLR,Eubacterium sp. CAG:180,0.004821991923048231,-0.004821991923048231,19
OnlyFemale,RandomForest,ThomasAM_2018b,0.6944444444444444,rCLR_Megamonas funiformis,rCLR,Megamonas funiformis,0.004731782392871225,-0.00264702127452952,20
