Model,Algorithm,Study,Fold_AUC,Feature,Feature_Type,Species,MeanAbsSHAP,MeanSignedSHAP,Rank
All,RandomForest,ZellerG_2014,0.690844416950201,PA_Parvimonas micra,PA,Parvimonas micra,0.051865793615215955,0.02458045222552488,1
All,RandomForest,ZellerG_2014,0.690844416950201,rCLR_Parvimonas micra,rCLR,Parvimonas micra,0.02407289750655017,0.010343384048702355,2
All,RandomForest,ZellerG_2014,0.690844416950201,rCLR_Eubacterium sp. CAG:251,rCLR,Eubacterium sp. CAG:251,0.013701060535645081,0.009032441119778602,3
All,RandomForest,ZellerG_2014,0.690844416950201,rCLR_Ruthenibacterium lactatiformans,rCLR,Ruthenibacterium lactatiformans,0.012518618706807112,0.0009103991095205127,4
All,RandomForest,ZellerG_2014,0.690844416950201,rCLR_Dorea formicigenerans,rCLR,Dorea formicigenerans,0.011015010570944813,0.0056083069248642195,5
All,RandomForest,ZellerG_2014,0.690844416950201,rCLR_Lachnospira pectinoschiza,rCLR,Lachnospira pectinoschiza,0.010942477253530786,0.0024584680769780282,6
All,RandomForest,ZellerG_2014,0.690844416950201,rCLR_[Ruminococcus] torques,rCLR,[Ruminococcus] torques,0.010485688506027416,0.002370628554007533,7
All,RandomForest,ZellerG_2014,0.690844416950201,rCLR_Bacteroides caccae,rCLR,Bacteroides caccae,0.008823187902323048,0.0010663438871809112,8
All,RandomForest,ZellerG_2014,0.690844416950201,rCLR_Odoribacter splanchnicus,rCLR,Odoribacter splanchnicus,0.00782108687327857,0.0039026288187386164,9
All,RandomForest,ZellerG_2014,0.690844416950201,rCLR_Eubacterium ventriosum,rCLR,Eubacterium ventriosum,0.007145655680056509,-0.004355200388358587,10
All,RandomForest,ZellerG_2014,0.690844416950201,rCLR_Roseburia faecis,rCLR,Roseburia faecis,0.007049364834099551,-0.002706297095803908,11
All,RandomForest,ZellerG_2014,0.690844416950201,rCLR_Anaerostipes hadrus,rCLR,Anaerostipes hadrus,0.0068005791071739895,-0.002583740428397132,12
All,RandomForest,ZellerG_2014,0.690844416950201,rCLR_Roseburia intestinalis,rCLR,Roseburia intestinalis,0.006763692553190141,-0.0006852925478960263,13
All,RandomForest,ZellerG_2014,0.690844416950201,rCLR_Parabacteroides distasonis,rCLR,Parabacteroides distasonis,0.006744494884152741,-3.636568318068428e-05,14
All,RandomForest,ZellerG_2014,0.690844416950201,rCLR_Bacteroides sp. CAG:144,rCLR,Bacteroides sp. CAG:144,0.006036663310757197,-0.0048201158213398345,15
All,RandomForest,ZellerG_2014,0.690844416950201,rCLR_Alistipes finegoldii,rCLR,Alistipes finegoldii,0.005863998020013775,-6.074650816744048e-05,16
All,RandomForest,ZellerG_2014,0.690844416950201,rCLR_Lachnospira eligens,rCLR,Lachnospira eligens,0.005565654044929142,-0.0026021922235648946,17
All,RandomForest,ZellerG_2014,0.690844416950201,rCLR_Methanobrevibacter smithii,rCLR,Methanobrevibacter smithii,0.005449329210767469,0.004588631918868401,18
All,RandomForest,ZellerG_2014,0.690844416950201,rCLR_Dorea longicatena,rCLR,Dorea longicatena,0.00521374785348681,0.0032297443648963927,19
